crossword_form,length,lemma,pos,date,formation,definition,url
THUMPATORY,10,thumpatory,adjective,1693,derivative,Characterized by thumping.,http://www.oed.com/dictionary/thumpatory_adj
TIGERANTIC,10,tigerantic,adjective,a1704,,"= tigerish, adj. 1.",http://www.oed.com/dictionary/tigerantic_adj
TOBACCICAL,10,tobaccical,adjective,1604,,"Pertaining to, addicted to, or caused by tobacco.",http://www.oed.com/dictionary/tobaccical_adj
TOPHONOURS,10,top-honours,noun,1700,compound,"The topsails of a ship, in reference to the…",http://www.oed.com/dictionary/top-honours_n
TRADENTINE,10,tradentine,adjective,1653,borrowing,Situated beyond or outside the teeth.,http://www.oed.com/dictionary/tradentine_adj
TRANSCLOUT,10,transclout,verb,1647,derivative,transitive. To transform or disfigure with clouts…,http://www.oed.com/dictionary/transclout_v
TRIANGLIFY,10,trianglify,verb,1589,derivative,transitive. To make into or arrange in a triangle…,http://www.oed.com/dictionary/trianglify_v
TRINKETING,10,trinketing,adjective,1674,,"Having to do with trinkets, toys, or trivial…",http://www.oed.com/dictionary/trinketing_adj
TURNSERVED,10,turn-served,adjective,1613,compound,That has acted in a self-interested way. See to…,http://www.oed.com/dictionary/turn-served_adj
URANOPATHY,10,uranopathy,noun,1868,compound,Emotional or sentimental responsiveness to…,http://www.oed.com/dictionary/uranopathy_n
VISURIENCY,10,visuriency,noun,1652,borrowing,The desire of seeing.,http://www.oed.com/dictionary/visuriency_n
WATCHBIRTH,10,watch-birth,noun,1608,compound,A literary work brought into being by watching.,http://www.oed.com/dictionary/watch-birth_n
WHOLESTEAL,10,whole-steal,noun,1649,compound,"Theft of something in its entirety, or on a large…",http://www.oed.com/dictionary/whole-steal_n
WILFULLING,10,wilfulling,noun,1606,,A wilful act.,http://www.oed.com/dictionary/wilfulling_n
WITHWORKER,10,with-worker,noun,1884,compound,"A fellow-worker, co-worker.",http://www.oed.com/dictionary/with-worker_n
WOMANSHIRE,10,womanshire,noun,1606,compound,A notional place in which women reside.,http://www.oed.com/dictionary/womanshire_n
WONDERNIZE,10,wondernize,verb,1599,derivative,transitive. To make a wonder or marvel of.,http://www.oed.com/dictionary/wondernize_v
ZOOMANTIST,10,zoomantist,noun,1861,compound,A person who a person who practises divination by…,http://www.oed.com/dictionary/zoomantist_n
AEQUALIFORM,11,aequaliform,adjective,1660,borrowing,"Having a uniform, constant, or indivisible form.",http://www.oed.com/dictionary/aequaliform_adj
AIRGONATION,11,airgonation,noun,1784,derivative,Travel through the air by means of a hot-air…,http://www.oed.com/dictionary/airgonation_n
ANAPAGANIZE,11,anapaganize,verb,1831,derivative,transitive. To make (something) pagan again.,http://www.oed.com/dictionary/anapaganize_v
ANIMABILITY,11,animability,noun,1814,derivative,The ability to experience sensations…,http://www.oed.com/dictionary/animability_n
ANNIHILMENT,11,annihilment,noun,1526,derivative,"Annihilation, complete destruction.",http://www.oed.com/dictionary/annihilment_n
ANTENOAHITE,11,ante-Noahite,noun,1810,,A person from before the time of Noah.,http://www.oed.com/dictionary/ante-noahite_n
ANTICLIMATE,11,anticlimate,noun,1625,derivative,In early modern geography: each of the bands on…,http://www.oed.com/dictionary/anticlimate_n
APPENDICING,11,appendicing,adjective,1661,borrowing,"Attached; hanging, suspended.",http://www.oed.com/dictionary/appendicing_adj
AUTOBURGLAR,11,auto-burglar,noun,1884,compound,A person who burgles his or her own house.,http://www.oed.com/dictionary/auto-burglar_n
BALLOONICAL,11,balloonical,adjective,1851,derivative,Connected with balloons; aeronautical.,http://www.oed.com/dictionary/balloonical_adj
BAWDREAMINY,11,bawdreaminy,noun,1608,compound,"Probably: bawdiness (bawdiness, n.¹); lewdness…",http://www.oed.com/dictionary/bawdreaminy_n
BIASDRAWING,11,bias drawing,noun,a1616,compound,"Deviation from the truth, insincerity.",http://www.oed.com/dictionary/bias-drawing_n
BILLPATCHED,11,bill-patched,adjective,1598,compound,Covered with notices demanding payment.,http://www.oed.com/dictionary/bill-patched_adj
BIRTHPUFFED,11,birth-puffed,adjective,1793,compound,"Proud of one's ancestry; cf. birth, n.¹ 2a.",http://www.oed.com/dictionary/birth-puffed_adj
BLANKETLOVE,11,blanket love,noun,a1657,compound,Illicit love outside of marriage.,http://www.oed.com/dictionary/blanket-love_n
BOCARDIZING,11,bocardizing,adjective,1652,derivative,Forming awkward or bad syllogisms; reasoning awkwardly.,http://www.oed.com/dictionary/bocardizing_adj
BREAKCOVERT,11,break-covert,adjective,1820,compound,That breaks covert; that starts forth from a…,http://www.oed.com/dictionary/break-covert_adj
BREAKLEAGUE,11,break league,noun,1582,compound,A person who fails to keep the terms of a league…,http://www.oed.com/dictionary/break-league_n
BREAKPULPIT,11,break-pulpit,noun,1588,compound,"An impassioned, vehement, or bombastic preacher.",http://www.oed.com/dictionary/break-pulpit_n
BRIARWOODER,11,briar-wooder,noun,1886,derivative,"A person who smokes a briarwood pipe, esp…",http://www.oed.com/dictionary/briar-wooder_n
BULLBEGGING,11,bull-begging,adjective,1592,,That operates as a terror.,http://www.oed.com/dictionary/bull-begging_adj
BUTTERBOWZY,11,butter bowzy,adjective,1719,compound,Designating a Dutchman.,http://www.oed.com/dictionary/butter-bowzy_adj
BUTTERYWORN,11,buttery-worn,adjective,1885,compound,(Of a person's body) worn out as a result of time…,http://www.oed.com/dictionary/buttery-worn_adj
CALLOGRAPHY,11,callography,noun,1841,borrowing,In the terminology of the U.S. academic Roswell…,http://www.oed.com/dictionary/callography_n
CALOPHANTIC,11,calophantic,adjective,1596,borrowing,Pretending or making a show of excellence.,http://www.oed.com/dictionary/calophantic_adj
CAMERANIOUS,11,cameranious,adjective,1791,borrowing,Of the nature of chamber music.,http://www.oed.com/dictionary/cameranious_adj
CANTINGCOAT,11,canting-coat,noun,1687,compound,The black gown worn by Puritan ministers.,http://www.oed.com/dictionary/canting-coat_n
CARDOPHAGUS,11,cardophagus,noun,1858,borrowing,"A thistle-eater, i.e. a donkey.",http://www.oed.com/dictionary/cardophagus_n
CATAPHYSICS,11,cataphysics,noun,1654,derivative,plural (see quot. 1654).,http://www.oed.com/dictionary/cataphysics_n
CATARUMPANT,11,catarumpant,adjective,1689,borrowing,"(Humorous): cf. Greek κατά, cat and rampant.",http://www.oed.com/dictionary/catarumpant_adj
CENTESSENCE,11,centessence,noun,1871,borrowing,In hyperbolic use: the most characteristic…,http://www.oed.com/dictionary/centessence_n
CHAPELIZING,11,chapelizing,noun,1659,derivative,The establishment of a place as a chapel.,http://www.oed.com/dictionary/chapelizing_n
CHECKBITTED,11,check-bitted,adjective,1845,derivative,Of a horse: fitted with a check bit.,http://www.oed.com/dictionary/check-bitted_adj
CHICKENABLE,11,chickenable,adjective,1853,derivative,Of an egg: capable of producing a chicken.,http://www.oed.com/dictionary/chickenable_adj
COACHCOFFER,11,coach coffer,noun,1607,compound,A box belonging to the driver of a horse-drawn…,http://www.oed.com/dictionary/coach-coffer_n
COACHHORSER,11,coach-horser,noun,1837,derivative,A person who provides horses for coaches. Cf…,http://www.oed.com/dictionary/coach-horser_n
COACHLEAVES,11,coach-leaves,noun,1631,compound,Folding blinds that cover the window of a coach.,http://www.oed.com/dictionary/coach-leaves_n
COACHTREATS,11,coach treats,noun,1607,compound,"The straps, chains, or ropes by which a horse is…",http://www.oed.com/dictionary/coach-treats_n
COMMENTITER,11,commentiter,noun,1645,borrowing,"A deviser of lies, a liar.",http://www.oed.com/dictionary/commentiter_n
COMPETENCER,11,competencer,noun,1621,derivative,The possessor of a competency (of means).,http://www.oed.com/dictionary/competencer_n
COMPOLITIZE,11,compolitize,verb,1647,derivative,transitive. To combine in citizenship.,http://www.oed.com/dictionary/compolitize_v
CONDUNGHILL,11,condunghill,verb,1650,derivative,transitive. To make like a dunghill.,http://www.oed.com/dictionary/condunghill_v
CONSCIUNCLE,11,consciuncle,noun,a1670,derivative,A minute or hair-splitting conscience.,http://www.oed.com/dictionary/consciuncle_n
CONSERVIENT,11,conservient,adjective,1651,derivative,Serving conjointly.,http://www.oed.com/dictionary/conservient_adj
CONVENTMENT,11,conventment,noun,1690,derivative,A body of people convened or set up for a…,http://www.oed.com/dictionary/conventment_n
CONVICINITY,11,convicinity,noun,1783,derivative,Vicinity to each other.,http://www.oed.com/dictionary/convicinity_n
COREGNATION,11,co-regnation,noun,1654,derivative,A period of joint rule.,http://www.oed.com/dictionary/co-regnation_n
COTQUEANITY,11,cotqueanity,noun,1602,derivative,Character or quality of a (female) cotquean.,http://www.oed.com/dictionary/cotqueanity_n
COTTAGEHOOD,11,cottagehood,noun,1860,derivative,The state or condition of being a cottage.,http://www.oed.com/dictionary/cottagehood_n
COXCOMBBIRD,11,coxcomb bird,noun,1734,compound,A parrot.,http://www.oed.com/dictionary/coxcomb-bird_n
CRAMPSPIDER,11,cramp spider,noun,1721,compound,An insect that stands and runs on the surface of…,http://www.oed.com/dictionary/cramp-spider_n
CRINIPAROUS,11,criniparous,adjective,1798,compound,Producing hair.,http://www.oed.com/dictionary/criniparous_adj
CRITICIASIS,11,criticiasis,noun,1874,derivative,Criticism regarded as a disease.,http://www.oed.com/dictionary/criticiasis_n
CUPSTANTIAL,11,cupstantial,adjective,1583,variant,"Arising from, or associated with, intoxication or…",http://www.oed.com/dictionary/cupstantial_adj
DECIPHERAGE,11,decipherage,noun,1851,derivative,The action or result of deciphering.,http://www.oed.com/dictionary/decipherage_n
DEPRAVERESS,11,depraveress,noun,1557,derivative,A female depraver.,http://www.oed.com/dictionary/depraveress_n
DIRECTITUDE,11,directitude,noun,a1616,compound,"Apparently: discredit, disgrace.",http://www.oed.com/dictionary/directitude_n
DISCONJURED,11,disconjured,adjective,1837,derivative,Apparently: deprived of the power of conjuring.,http://www.oed.com/dictionary/disconjured_adj
DISSIMILIES,11,dissimilies,noun,1659,borrowing,With plural agreement. Dissimilar things; things…,http://www.oed.com/dictionary/dissimilies_n
DISTECTURED,11,distectured,adjective,1632,derivative,Deprived of the roof; unroofed.,http://www.oed.com/dictionary/distectured_adj
DIVISIONATE,11,divisionate,verb,a1586,derivative,"transitive. To make division of, divide.",http://www.oed.com/dictionary/divisionate_v
ELISIONABLE,11,elisionable,adjective,1877,derivative,That may be elided; elidible.,http://www.oed.com/dictionary/elisionable_adj
EMPIRICUTIC,11,empiricutic,adjective,a1616,variant,Empirical.,http://www.oed.com/dictionary/empiricutic_adj
ENIXIBILITY,11,enixibility,noun,1652,borrowing,? Possibility of being brought forth.,http://www.oed.com/dictionary/enixibility_n
EQUESTRIANA,11,equestriana,noun,1825,,A female equestrian.,http://www.oed.com/dictionary/equestriana_n
EXPECCATION,11,expeccation,noun,a1631,borrowing,(See quot. 1631.),http://www.oed.com/dictionary/expeccation_n
FATIDICENCY,11,fatidicency,noun,1693,derivative,The action or practice of foretelling the future…,http://www.oed.com/dictionary/fatidicency_n
FICKLEFORCE,11,fickle-force,noun,1567,compound,(See quot. 1567.),http://www.oed.com/dictionary/fickle-force_n
FINGERSHADE,11,finger-shade,noun,1711,compound,The action of concealing the mouth with the fingers.,http://www.oed.com/dictionary/finger-shade_n
FLAILFINNED,11,flail-finned,adjective,a1631,compound,Having a long fin which resembles a flail. Cf…,http://www.oed.com/dictionary/flail-finned_adj
GALLANTSHIP,11,gallantship,noun,1579,derivative,"With possessive adjective, as a mock title of…",http://www.oed.com/dictionary/gallantship_n
GELDINGEITY,11,geldingeity,noun,a1774,derivative,The quality of being a gelding.,http://www.oed.com/dictionary/geldingeity_n
GOUTJUSTICE,11,gout-justice,noun,1619,compound,"Justice that is delayed or slow, as if hampered…",http://www.oed.com/dictionary/gout-justice_n
HECATONTOME,11,hecatontome,noun,1641,borrowing,A collection of a hundred volumes.,http://www.oed.com/dictionary/hecatontome_n
HEELSOPHIST,11,heel sophist,noun,1743,compound,A person knowledgeable in the art of dancing.,http://www.oed.com/dictionary/heel-sophist_n
HOBBYHEADED,11,hobby headed,adjective,a1625,compound,"Having thick, shaggy hair.",http://www.oed.com/dictionary/hobby-headed_adj
HOBGOBLINET,11,hobgoblinet,noun,1615,derivative,A small hobgoblin.,http://www.oed.com/dictionary/hobgoblinet_n
HYPERBYSSAL,11,hyperbyssal,adjective,1691,borrowing,Of or belonging to surpassing depth or profundity.,http://www.oed.com/dictionary/hyperbyssal_adj
IMPROVERESS,11,improveress,noun,1744,derivative,A female improver.,http://www.oed.com/dictionary/improveress_n
INOBSTINATE,11,inobstinate,verb,1599,derivative,"transitive. To render obstinate, confirm in obstinacy.",http://www.oed.com/dictionary/inobstinate_v
INSEPARIZED,11,inseparized,adjective,a1618,derivative,"= inseparate, adj.",http://www.oed.com/dictionary/inseparized_adj
JAILDELIVER,11,jail-deliver,verb,?1632,compound,"transitive. To rescue, save, or set (a prisoner)…",http://www.oed.com/dictionary/jail-deliver_v
LEGERDEHEEL,11,legerdeheel,noun,1605,variant,to play legerdeheel: (of a woman) to be sexually…,http://www.oed.com/dictionary/legerdeheel_n
LEOPARDIZED,11,leopardized,adjective,1762,derivative,A lion represented as passant guardant.,http://www.oed.com/dictionary/leopardized_adj
LITTLEBLESS,11,little-bless,verb,1610,compound,transitive to curse.,http://www.oed.com/dictionary/little-bless_v
LOCORESTIVE,11,loco-restive,adjective,1796,compound,Inclined to remain in one place.,http://www.oed.com/dictionary/loco-restive_adj
MACROPICIDE,11,macropicide,noun,1866,borrowing,A person who kills kangaroos.,http://www.oed.com/dictionary/macropicide_n
MAJESTARIAN,11,majestarian,adjective,1847,derivative,Of or relating to the sovereign.,http://www.oed.com/dictionary/majestarian_adj
MANHUCKSTER,11,man-huckster,noun,a1640,compound,The manager of a male brothel.,http://www.oed.com/dictionary/man-huckster_n
MARCHPANADO,11,march panado,verb,1650,derivative,"transitive. To mould (a thing), in the manner of…",http://www.oed.com/dictionary/march-panado_v
MARITURIENT,11,mariturient,adjective,1765,borrowing,Eager to marry.,http://www.oed.com/dictionary/mariturient_adj
MASSINGMATE,11,massing-mate,noun,1607,compound,The priest who celebrates mass.,http://www.oed.com/dictionary/massing-mate_n
MEETHELPING,11,meet-helping,noun,1869,derivative,The action of a helpmeet.,http://www.oed.com/dictionary/meet-helping_n
MERCHANTISH,11,merchantish,adjective,1848,derivative,Resembling or characteristic of a merchant.,http://www.oed.com/dictionary/merchantish_adj
MIMOPROPHET,11,mimo-prophet,noun,1668,borrowing,A mock or pretended prophet.,http://www.oed.com/dictionary/mimo-prophet_n
MODERNICIDE,11,modernicide,noun,1760,compound,"A person who kills ‘moderns’ (see modernist, n. A.2).",http://www.oed.com/dictionary/modernicide_n
MOFUSSILIZE,11,mofussilize,verb,1863,derivative,"intransitive. To live in a remote, rural, or…",http://www.oed.com/dictionary/mofussilize_v
MOMENTARIAN,11,momentarian,noun,1863,derivative,"= infinitesimalist, n. Cf. moment, n. I.3b.",http://www.oed.com/dictionary/momentarian_n
MONONEIRIST,11,mononeirist,noun,1763,borrowing,A person who has only ever dreamed once.,http://www.oed.com/dictionary/mononeirist_n
MONSTRICIDE,11,monstricide,noun,1859,borrowing,The killing of a monster.,http://www.oed.com/dictionary/monstricide_n
MUSOPHOBIST,11,musophobist,noun,1880,borrowing,A person who dislikes or mistrusts poetry.,http://www.oed.com/dictionary/musophobist_n
MUTTERATION,11,mutteration,noun,1753,derivative,The action of muttering.,http://www.oed.com/dictionary/mutteration_n
NEOTERIZING,11,neoterizing,noun,1873,borrowing,The coining of new words or phrases; = neologism…,http://www.oed.com/dictionary/neoterizing_n
NETHERLINGS,11,netherlings,noun,1852,derivative,"Nether garments (see nether, adj. A.2b).",http://www.oed.com/dictionary/netherlings_n
NUXVOMICIZE,11,nux-vomicize,verb,1866,derivative,transitive. To adulterate (a drink) with nux vomica.,http://www.oed.com/dictionary/nux-vomicize_v
OBANDSOLLER,11,ob-and-soller,noun,1678,derivative,A person who engages in scholastic disputation…,http://www.oed.com/dictionary/ob-and-soller_n
ORTHOGLOSSY,11,orthoglossy,noun,1877,borrowing,Accepted or customary pronunciation.,http://www.oed.com/dictionary/orthoglossy_n
OUTOFDOORER,11,out-of-doorer,noun,1839,derivative,A person who prefers to live or stay in the open air.,http://www.oed.com/dictionary/out-of-doorer_n
PACKISHNESS,11,packishness,noun,1672,derivative,The condition or quality of being a pack.,http://www.oed.com/dictionary/packishness_n
PALACEMOUSE,11,palace-mouse,noun,1608,compound,An obsequious courtier.,http://www.oed.com/dictionary/palace-mouse_n
PALAEOLATRY,11,palaeolatry,noun,1887,compound,"Worship of, or excessive reverence for, that…",http://www.oed.com/dictionary/palaeolatry_n
PAMPHLETAGE,11,pamphletage,noun,1896,derivative,The totality of pamphlets on a particular…,http://www.oed.com/dictionary/pamphletage_n
PAMPINULATE,11,pampinulate,verb,1592,borrowing,transitive. To cover with convoluted strands or…,http://www.oed.com/dictionary/pampinulate_v
PAPAPHOBIST,11,papaphobist,noun,a1834,derivative,A person affected with papaphobia.,http://www.oed.com/dictionary/papaphobist_n
PAPISTICATE,11,papisticate,verb,1746,derivative,transitive. To convert to Roman Catholicism.,http://www.oed.com/dictionary/papisticate_v
PAPYROCRACY,11,papyrocracy,noun,1843,compound,Government by excessive paperwork.,http://www.oed.com/dictionary/papyrocracy_n
PARADOXLING,11,paradoxling,noun,1863,derivative,A little paradox.,http://www.oed.com/dictionary/paradoxling_n
PARAKEETISM,11,parakeetism,noun,1658,derivative,An example of speaking without understanding what…,http://www.oed.com/dictionary/parakeetism_n
PAROCHIALIC,11,parochialic,adjective,1848,borrowing,Parochial.,http://www.oed.com/dictionary/parochialic_adj
PARRATIONAL,11,par-rational,adjective,1647,borrowing,Equally rational or reasonable.,http://www.oed.com/dictionary/par-rational_adj
PARSONARCHY,11,parsonarchy,noun,1830,derivative,A body of ruling parsons.,http://www.oed.com/dictionary/parsonarchy_n
PATHETICATE,11,patheticate,verb,1885,derivative,"transitive. To make pathetic, to give a pathetic…",http://www.oed.com/dictionary/patheticate_v
PEDOMETRIST,11,pedometrist,noun,1827,derivative,A person who uses a pedometer.,http://www.oed.com/dictionary/pedometrist_n
PERMORALIZE,11,permoralize,verb,1888,derivative,transitive. To permeate or imbue with moral influence.,http://www.oed.com/dictionary/permoralize_v
PERSHEETING,11,per-sheeting,noun,1805,derivative,The practice of charging at so much per sheet…,http://www.oed.com/dictionary/per-sheeting_n
PHANTOMIZER,11,phantomizer,noun,1860,derivative,"= spiritualizer, n. 1.",http://www.oed.com/dictionary/phantomizer_n
PHILOCUBIST,11,philocubist,noun,1822,borrowing,"A dice player, a gambler.",http://www.oed.com/dictionary/philocubist_n
PHILOGALIST,11,philogalist,noun,1819,,"= philofelist, n.",http://www.oed.com/dictionary/philogalist_n
PIECEBRIGHT,11,piece-bright,adjective,1877,compound,Bright in parts.,http://www.oed.com/dictionary/piece-bright_adj
PIGLINGHOOD,11,piglinghood,noun,1885,derivative,The state or condition of being a pigling.,http://www.oed.com/dictionary/piglinghood_n
PIROUETTISM,11,pirouettism,noun,1839,derivative,An inclination towards or habit of pirouetting.,http://www.oed.com/dictionary/pirouettism_n
PISCITARIAN,11,piscitarian,noun,1880,borrowing,A fishmonger.,http://www.oed.com/dictionary/piscitarian_n
PLACENTIATE,11,placentiate,verb,1694,borrowing,"transitive. To please, satisfy.",http://www.oed.com/dictionary/placentiate_v
PLANETICOSE,11,planeticose,adjective,1849,borrowing,Given to wandering; itinerant.,http://www.oed.com/dictionary/planeticose_adj
PLENORDERLY,11,plenorderly,adverb,1650,compound,Under the orders or authority of all.,http://www.oed.com/dictionary/plenorderly_adv
PLENTYPRICE,11,plenty price,noun,1860,compound,A price appropriate to a time of plenty (cf…,http://www.oed.com/dictionary/plenty-price_n
PLUMELETAGE,11,plumeletage,noun,1855,derivative,"Small, delicate plumage.",http://www.oed.com/dictionary/plumeletage_n
PLURANIMOUS,11,pluranimous,adjective,1650,borrowing,Not unanimous.,http://www.oed.com/dictionary/pluranimous_adj
POLEMOMANIA,11,polemomania,noun,1874,borrowing,Excessive desire for conflict; militant anger.,http://www.oed.com/dictionary/polemomania_n
POLYADAMITE,11,polyadamite,adjective,1832,compound,"Asserting the existence of many ‘Adams’, or first…",http://www.oed.com/dictionary/polyadamite_adj
POLYGRAMMAR,11,polygrammar,noun,1812,compound,A grammar of several different languages.,http://www.oed.com/dictionary/polygrammar_n
POOHPOOHIST,11,pooh-poohist,noun,1861,derivative,"= pooh-pooher, n.",http://www.oed.com/dictionary/pooh-poohist_n
POPEDOMSHIP,11,popedomship,noun,1588,derivative,The office or authority of a pope.,http://www.oed.com/dictionary/popedomship_n
POPLOCRATIC,11,Poplocratic,adjective,1895,compound,"= Popocratic, adj.",http://www.oed.com/dictionary/poplocratic_adj
POSTFERMENT,11,postferment,noun,a1661,derivative,Removal to an inferior office. Opposed to preferment.,http://www.oed.com/dictionary/postferment_n
POSTUREMAKE,11,posture-make,verb,1853,compound,intransitive. To make postures. Only in present…,http://www.oed.com/dictionary/posture-make_v
POTESTOLATE,11,potestolate,noun,1522,variant,Perhaps: a ruler; a powerful person.,http://www.oed.com/dictionary/potestolate_n
PRENUNTIATE,11,prenuntiate,noun,1866,borrowing,"A foreteller, a harbinger.",http://www.oed.com/dictionary/prenuntiate_n
PROCULSTANT,11,proculstant,noun,1589,borrowing,A Protestant.,http://www.oed.com/dictionary/proculstant_n
PRODIALOGUE,11,pro-dialogue,noun,1884,derivative,An introductory dialogue.,http://www.oed.com/dictionary/pro-dialogue_n
PROOFFAVOUR,11,proof-favour,noun,a1625,compound,Favour or goodwill of proven strength.,http://www.oed.com/dictionary/proof-favour_n
PROPINQUIAL,11,propinquial,adjective,1891,derivative,Relating to or carried out in the vicinity.,http://www.oed.com/dictionary/propinquial_adj
PULICARIOUS,11,pulicarious,adjective,1872,borrowing,Of the nature of or resembling a flea.,http://www.oed.com/dictionary/pulicarious_adj
PUNCTIUNCLE,11,punctiuncle,noun,1874,borrowing,An extremely minute or trifling point.,http://www.oed.com/dictionary/punctiuncle_n
PURVEYANCER,11,purveyancer,noun,1800,derivative,"= purveyor, n. 1c.",http://www.oed.com/dictionary/purveyancer_n
PYRAMIDAIRE,11,pyramidaire,noun,1876,derivative,A person to whom a pyramid is erected as a monument.,http://www.oed.com/dictionary/pyramidaire_n
PYTHONIZING,11,pythonizing,noun,1654,derivative,An act of ventriloquizing (apparently used of the…,http://www.oed.com/dictionary/pythonizing_n
QUADRUPAWED,11,quadru-pawed,adjective,1828,compound,Having four paws.,http://www.oed.com/dictionary/quadru-pawed_adj
QUALITYSHIP,11,qualityship,noun,1865,derivative,Social position.,http://www.oed.com/dictionary/qualityship_n
QUEENOMANIA,11,Queenomania,noun,1820,compound,Devotion to the cause of Queen Caroline…,http://www.oed.com/dictionary/queenomania_n
QUESTIONFUL,11,questionful,noun,1647,derivative,A full reply to a question.,http://www.oed.com/dictionary/questionful_n
QUINQUAGINT,11,quinquagint,noun,1843,borrowing,A group of fifty persons.,http://www.oed.com/dictionary/quinquagint_n
QUIZZACIOUS,11,quizzacious,adjective,1843,derivative,Mocking; satirical.,http://www.oed.com/dictionary/quizzacious_adj
RAPHAELHOOD,11,Raphaelhood,noun,1851,proper name,The state or condition of being considered like…,http://www.oed.com/dictionary/raphaelhood_n
RATIOCINANT,11,ratiocinant,adjective,1693,borrowing,That reasons; reasoning.,http://www.oed.com/dictionary/ratiocinant_adj
RECONCILESS,11,reconciless,noun,1865,derivative,A female reconciler.,http://www.oed.com/dictionary/reconciless_n
REPATRIOTED,11,repatrioted,adjective,1755,derivative,That has become patriotic again.,http://www.oed.com/dictionary/repatrioted_adj
REPORTERIZE,11,reporterize,verb,1891,derivative,transitive to treat in the manner of a reporter.,http://www.oed.com/dictionary/reporterize_v
RESPECTANCE,11,respectance,noun,1820,derivative,"= respect, n.",http://www.oed.com/dictionary/respectance_n
RHABDOSOPHY,11,rhabdosophy,noun,1820,compound,The practice of gesturing with one's cane or…,http://www.oed.com/dictionary/rhabdosophy_n
RIGHTEOUSER,11,righteouser,noun,1866,derivative,A person who makes another or others righteous…,http://www.oed.com/dictionary/righteouser_n
ROBUSTIHOOD,11,robustihood,noun,1834,derivative,Robustness.,http://www.oed.com/dictionary/robustihood_n
ROMANCERESS,11,romanceress,noun,1841,derivative,A female romancer.,http://www.oed.com/dictionary/romanceress_n
ROUNDLINESS,11,roundliness,noun,1870,derivative,The quality of having a rounded outline or contour.,http://www.oed.com/dictionary/roundliness_n
ROUTINARITY,11,routinarity,noun,1868,derivative,The condition of being dependent on routine.,http://www.oed.com/dictionary/routinarity_n
RUINIFEROUS,11,ruiniferous,adjective,1854,compound,Rich in ruins.,http://www.oed.com/dictionary/ruiniferous_adj
SCARLATICAL,11,scarlatical,adjective,1672,derivative,Having the prejudices characteristic of those who…,http://www.oed.com/dictionary/scarlatical_adj
SCHOOLINGLY,11,schoolingly,adverb,1871,derivative,So as to provide a lesson.,http://www.oed.com/dictionary/schoolingly_adv
SERINGAHOOD,11,seringahood,noun,1754,derivative,The condition of abounding in seringa blossom.,http://www.oed.com/dictionary/seringahood_n
SHRILLBATED,11,shrill-bated,adjective,1582,compound,With a shrill sound like the voices of people arguing.,http://www.oed.com/dictionary/shrill-bated_adj
SPECIMENIFY,11,specimenify,verb,1820,derivative,transitive. To select (something) as a specimen…,http://www.oed.com/dictionary/specimenify_v
SPIRITUELLY,11,spirituelly,adverb,1825,derivative,In a refined or witty manner.,http://www.oed.com/dictionary/spirituelly_adv
STEADMOTHER,11,stead mother,noun,1591,compound,(See quot. 1591).,http://www.oed.com/dictionary/stead-mother_n
STIRPASSION,11,stir-passion,noun,1604,compound,Something that stirs or excites passion.,http://www.oed.com/dictionary/stir-passion_n
STRETCHLING,11,stretchling,noun,1674,derivative,A minute quantity of space.,http://www.oed.com/dictionary/stretchling_n
SUPERFINISH,11,superfinish,adjective,1866,derivative,Somewhat superfine.,http://www.oed.com/dictionary/superfinish_adj
SURCINGLING,11,surcingling,noun,1654,derivative,A flogging with a surcingle.,http://www.oed.com/dictionary/surcingling_n
TACTURIENCY,11,tacturiency,noun,1652,borrowing,The desire of touching.,http://www.oed.com/dictionary/tacturiency_n
TAPINOPHOBY,11,tapinophoby,noun,1773,borrowing,(See quot. 1773.),http://www.oed.com/dictionary/tapinophoby_n
THINKINGDOM,11,thinkingdom,noun,1880,derivative,A social structure of thinking persons.,http://www.oed.com/dictionary/thinkingdom_n
THRONONICAL,11,thrononical,adjective,a1626,derivative,Of or relating to a ruler occupying a throne.,http://www.oed.com/dictionary/thrononical_adj
THWARTEROUS,11,thwarterous,adjective,1625,derivative,"Tortuous, twisted, gnarled.",http://www.oed.com/dictionary/thwarterous_adj
TOMORROWING,11,tomorrowing,adjective,1824,derivative,That procrastinates.,http://www.oed.com/dictionary/tomorrowing_adj
TOTIPRESENT,11,totipresent,adjective,1768,borrowing,Present throughout the whole of a space.,http://www.oed.com/dictionary/totipresent_adj
TRANSSPIRIT,11,trans-spirit,verb,1652,derivative,transitive. To convey the spirit of (a thing)…,http://www.oed.com/dictionary/trans-spirit_v
TRUCHSPRITE,11,truch sprite,noun,1582,,A spirit acting as interpreter or messenger.,http://www.oed.com/dictionary/truch-sprite_n
VAGABUNDULO,11,vagabundulo,noun,1631,derivative,? A roguish trick.,http://www.oed.com/dictionary/vagabundulo_n
VENTILABRAL,11,ventilabral,adjective,1882,borrowing,Concerning or relating to a (handheld) fan or fans.,http://www.oed.com/dictionary/ventilabral_adj
WATCHGEORGE,11,watch George,noun,1614,compound,A representation of St George in the form of a…,http://www.oed.com/dictionary/watch-george_n
WELLWOULDER,11,well-woulder,noun,1643,compound,A conditional or would-be well-wisher. Cf…,http://www.oed.com/dictionary/well-woulder_n
WHIMSEYCADO,11,whimseycado,noun,1654,borrowing,(?) A whim.,http://www.oed.com/dictionary/whimseycado_n
